"","oneTm","Date","TacklesComb","TacklesTFL","TacklesQBHits","DefInterceptionsQBHits","DefInterceptionsInt","DefInterceptionsYds","DefInterceptionsTD","KickReturnsRt","KickReturnsYds","KickReturnsYRt","KickReturnsTD","PuntReturnsYds","PuntReturnsTD","RushingYds","PassingYds","ReceivingYds","ReceivingTD","RushingTD"
"20","PIT","2018-09-24",20.25,2.25,2.5,0.25,0,0,0,0,0,0,0,0,0,152.25,339.5,313.75,2.5,1.75
"21","PIT","2018-09-16",12.75,2,1.75,0.25,0,0,0,0,0,0,0,0,0,34.75,49.25,33.5,0,0.5
"22","PHI","2018-09-30",32.25,3.25,4.25,0,0.25,4,0,0,0,0,0,0,0,141.5,697.25,373.75,2.75,1
"23","PHI","2018-09-23",23.5,2.25,3.5,0,0.25,4,0,0,0,0,0,0,0,73.75,335.5,217.75,1.25,1
"24","PHI","2018-09-16",10,1.5,2,0,0,0,0,0,0,0,0,0,0,9.5,62.75,53.25,0,0.25
"25","OAK","2018-09-30",19.5,0.75,1,0,0.25,3.75,0,0,0,0,0,1.75,0,223.75,709,558.75,4,2.25
"26","OAK","2018-09-23",14,0.75,1,0,0.25,3.75,0,0,0,0,0,1.75,0,74,284.5,241.5,1.25,1.25
"27","OAK","2018-09-16",7.75,0.25,0.25,0,0,0,0,0,0,0,0,0,0,34.25,58.25,53.75,0.5,0
"28","NYJ","2018-09-30",30.5,2.5,3,0.75,1.25,25.5,0.25,0,0,0,0,0,0,181,511,329.5,2,1.5
"29","NYJ","2018-09-20",17.75,1.5,1.75,0.25,1.25,25.5,0.25,0,0,0,0,0,0,72.5,257.75,142.25,1,0.25
"30","NYJ","2018-09-16",7.75,0.25,0.75,0,1.25,25.5,0.25,0,0,0,0,0,0,2.25,71.5,43.75,0,0
"31","NYG","2018-09-30",29.25,0.5,2.25,0,0.5,0,0,0,0,0,0,0.75,0,201.75,519,324.5,1.75,0.5
"32","NYG","2018-09-23",19.75,0.25,0.75,0,0.25,0,0,0,0,0,0,0.75,0,82.25,220.5,107.75,0.75,0.5
"33","NYG","2018-09-16",11,0.25,0.25,0,0.25,0,0,0,0,0,0,0,0,20.75,44,26.75,0,0
"34","WAS","2018-09-23",28,0.666666666666667,1.66666666666667,0,1,4.66666666666667,0,0,0,0,0,0,0,67.3333333333333,247,121,0.666666666666667,0.333333333333333
"35","WAS","2018-09-16",10,0,0.666666666666667,0,0.333333333333333,1,0,0,0,0,0,0,0,14.6666666666667,51,41.6666666666667,0,0.333333333333333
"36","NOR","2018-09-30",31,3.25,2,0,0.25,5.5,0,0,0,0,0,4,0,184.75,647.25,430.5,2.25,2.25
"37","NOR","2018-09-23",22,2,1,0,0.25,5.5,0,0,0,0,0,0,0,115.75,320.25,259.25,1.5,1.5
"38","NOR","2018-09-16",10.5,0.5,0,0,0,0,0,0,0,0,0,0,0,26.25,104.25,80,0.75,0.25
"39","NWE","2018-10-04",32.2,1.6,0.8,1,0.4,0,0,0,0,0,0,0,0,209.2,866,498.6,3.6,0.4
"40","NWE","2018-09-30",25.4,1.4,0.8,0.4,0.4,0,0,0,0,0,0,0,0,112.2,494.6,305.4,2.2,0
"41","NWE","2018-09-23",16.2,0.8,0.8,0.4,0.4,0,0,0,0,0,0,0,0,75,207.6,128,1,0
"42","NWE","2018-09-16",8,0.6,0.8,0.2,0.2,0,0,0,0,0,0,0,0,29,35.2,23.2,0,0
"43","MIN","2018-09-27",38.5,3.25,5,0.5,0.5,4.25,0,0,0,0,0,0,0,159.5,516.25,373.5,2.25,0.75
"44","MIN","2018-09-23",25.75,2.25,4,0.25,0.5,4.25,0,0,0,0,0,0,0,80.75,258.5,214.25,1,0.25
"45","MIN","2018-09-16",9.5,1.25,2,0.25,0.5,4.25,0,0,0,0,0,0,0,13,65.25,43,0,0
"46","MIA","2018-09-30",41.25,2,1.25,0,1.75,37.75,0,0,0,0,0,0.5,0,138.75,539,354,1,0.75
"47","MIA","2018-09-23",25.25,1.75,0.25,0,1.25,28,0,0,0,0,0,0.5,0,62.25,278,175.25,0.75,0
"48","MIA","2018-09-16",14.75,0.25,0,0,0.75,20.25,0,0,0,0,0,0.5,0,10.25,55,33.25,0,0
"49","KAN","2018-10-01",39.75,3.75,3.25,0,0.25,0,0,0.25,6.25,6.25,0,25,0.25,227.25,822,686.25,3.75,1.75
"50","KAN","2018-09-23",28.25,2,2,0,0.25,0,0,0,0,0,0,23.75,0.25,68.5,366.75,297.5,2,1.25
"51","KAN","2018-09-16",16.25,1,1.5,0,0.25,0,0,0,0,0,0,23.75,0.25,16,106,59.75,0.5,0
"52","JAX","2018-09-30",36.5,4.25,4,0,0.25,8,0.25,0,0,0,0,0,0,115.25,490.75,301.5,1,0.5
"53","JAX","2018-09-23",24.25,2.5,3,0,0.25,8,0.25,0,0,0,0,0,0,38.25,253.5,150.5,0.5,0.25
"54","JAX","2018-09-16",14,2,2,0,0.25,8,0.25,0,0,0,0,0,0,27.25,56,53.75,0,0.25
