"","RFPred","player","position"
"8885",53.6,"Jimmy Garoppolo","QB"
"8814",0,"Matt Wile","K"
"8879",7.20000000000001,"Derrick Henry","RB"
"8908",58.1999999999999,"Josh Allen","QB"
"8824",0,"Gabe Holmes","TE"
"8830",0,"Ricky Seals Jones","TE"
"8829",0,"Chad Williams","WR"
"8970",5.89999999999999,"Jamaal Williams","RB"
"8966",0,"Geronimo Allison","WR"
"8959",6,"Keelan Cole","WR"
"8951",0,"Blake Jarwin","TE"
"8949",0,"Brett Maher","K"
"8950",0,"Deonte Thompson","WR"
"8944",0,"Geoff Swaim","TE"
"8936",0,"Jason Sanders","K"
"8933",5.30000000000001,"Kenyan Drake","RB"
"8806",0,"Jake Butt","TE"
"8811",0,"Jeff Heuerman","TE"
"8807",2.80000000000001,"Royce Freeman","RB"
"8956",103,"Patrick Mahomes","QB"
"8918",6,"Kenny Golladay","WR"
"8922",0,"Luke Willson","TE"
"8873",0,"Dallas Goedert","TE"
"8931",0,"Ryan Griffin","TE"
"8925",0,"Jordan Thomas","TE"
"8930",78.3999999999999,"Deshaun Watson","QB"
"8940",0,"Ryan Grant","WR"
"8942",6.10000000000001,"Jordan Wilkins","RB"
"8838",2.4,"Chris Carson","RB"
"8842",6,"Will Dissly","TE"
"8843",0,"Nick Vannett","TE"
"8792",1.7,"Taylor Gabriel","WR"
"8794",6.2,"Trey Burton","TE"
"8796",0.799999999999998,"Tarik Cohen","RB"
