"","oneTm","Date","TacklesComb","TacklesTFL","TacklesQBHits","DefInterceptionsQBHits","DefInterceptionsInt","DefInterceptionsYds","DefInterceptionsTD","KickReturnsRt","KickReturnsYds","KickReturnsYRt","KickReturnsTD","PuntReturnsYds","PuntReturnsTD","RushingYds","PassingYds","ReceivingYds","ReceivingTD","RushingTD"
"757","MIA","2016-11-27",5.90566037735849,0.39622641509434,0,0.773584905660377,0.132075471698113,2.26415094339623,0.0188679245283019,0,0,0,0,1.49056603773585,0,151.962264150943,439.88679245283,312.169811320755,1.86792452830189,1.39622641509434
"758","MIA","2016-11-20",5.22641509433962,0.320754716981132,0,0.716981132075472,0.132075471698113,2.26415094339623,0.0188679245283019,0,0,0,0,1.47169811320755,0,125.11320754717,366.018867924528,259.283018867925,1.58490566037736,1.22641509433962
"759","MIA","2016-11-13",4.54716981132075,0.245283018867925,0,0.566037735849057,0.0566037735849057,0.622641509433962,0,0,0,0,0,1.47169811320755,0,100.641509433962,281.735849056604,189.415094339623,1.05660377358491,0.943396226415094
"760","MIA","2016-11-06",4,0.226415094339623,0,0.490566037735849,0.0377358490566038,0.30188679245283,0,0,0,0,0,1.30188679245283,0,81.0188679245283,217.11320754717,144.301886792453,0.811320754716981,0.716981132075472
"761","MIA","2016-10-23",3.58490566037736,0.188679245283019,0,0.358490566037736,0.0377358490566038,0.30188679245283,0,0,0,0,0,0.981132075471698,0,45.9056603773585,147.849056603774,95.5849056603774,0.60377358490566,0.358490566037736
"762","MIA","2016-10-16",3.15094339622642,0.188679245283019,0,0.264150943396226,0.0188679245283019,0.169811320754717,0,0,0,0,0,0.773584905660377,0,35.1132075471698,87.3584905660377,68.2264150943396,0.339622641509434,0.30188679245283
"763","MIA","2016-10-09",2.45283018867925,0.169811320754717,0,0.264150943396226,0.0188679245283019,0.169811320754717,0,0,0,0,0,0.547169811320755,0,21.5849056603774,52.8301886792453,44.377358490566,0.150943396226415,0.207547169811321
"764","MIA","2016-09-29",1.88679245283019,0.0943396226415094,0,0.264150943396226,0.0188679245283019,0.169811320754717,0,0,0,0,0,0.547169811320755,0,12.5849056603774,19.5094339622642,30.4716981132075,0.132075471698113,0.132075471698113
"765","MIA","2016-09-25",1.39622641509434,0.0566037735849057,0,0.150943396226415,0.0188679245283019,0.169811320754717,0,0,0,0,0,0.30188679245283,0,6.86792452830189,9.66037735849057,14.8867924528302,0.0566037735849057,0.0754716981132075
"766","MIA","2016-09-18",0.660377358490566,0.0188679245283019,0,0.113207547169811,0.0188679245283019,0.169811320754717,0,0,0,0,0,0.30188679245283,0,0.30188679245283,4.86792452830189,3.33962264150943,0.0188679245283019,0
"767","MIA","2016-09-11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"768","MIA","2016-01-03",13.0188679245283,1.47169811320755,0.641509433962264,0.528301886792453,0.207547169811321,2.75471698113208,0.0566037735849057,0.30188679245283,6.86792452830189,3.04528301886792,0,7.18867924528302,0.0188679245283019,188.188679245283,777.188679245283,547.264150943396,4.07547169811321,1.0188679245283
"769","MIA","2015-12-27",12.5283018867925,1.37735849056604,0.622641509433962,0.490566037735849,0.207547169811321,2.75471698113208,0.0566037735849057,0.30188679245283,6.86792452830189,3.04528301886792,0,6.90566037735849,0.0188679245283019,163.924528301887,720.622641509434,484,3.66037735849057,0.905660377358491
"770","MIA","2015-12-20",11.4716981132075,1.24528301886792,0.566037735849057,0.433962264150943,0.169811320754717,1.94339622641509,0.0566037735849057,0.264150943396226,6.05660377358491,2.63962264150943,0,6.60377358490566,0.0188679245283019,139.811320754717,587.320754716981,407.169811320755,3.11320754716981,0.830188679245283
"771","MIA","2015-12-14",10.5283018867925,1.16981132075472,0.509433962264151,0.433962264150943,0.169811320754717,1.94339622641509,0.0566037735849057,0.226415094339623,4.81132075471698,2.01698113207547,0,6.0377358490566,0.0188679245283019,125.849056603774,512.792452830189,357.471698113208,2.69811320754717,0.811320754716981
"772","MIA","2015-12-06",9.49056603773585,1.07547169811321,0.415094339622642,0.339622641509434,0.132075471698113,1.49056603773585,0.0377358490566038,0.226415094339623,4.81132075471698,2.01698113207547,0,5.75471698113208,0.0188679245283019,94.4339622641509,381.603773584906,279.094339622641,2.07547169811321,0.566037735849057
"773","MIA","2015-11-29",8.52830188679245,0.981132075471698,0.358490566037736,0.320754716981132,0.132075471698113,1.49056603773585,0.0377358490566038,0.226415094339623,4.81132075471698,2.01698113207547,0,4.86792452830189,0.0188679245283019,85.7735849056604,345.716981132075,256.528301886792,1.84905660377358,0.509433962264151
"774","MIA","2015-11-22",7.66037735849057,0.849056603773585,0.283018867924528,0.30188679245283,0.113207547169811,1.16981132075472,0.0377358490566038,0.188679245283019,4.18867924528302,1.70566037735849,0,4.64150943396226,0.0188679245283019,68.3962264150943,328.11320754717,210.811320754717,1.58490566037736,0.433962264150943
"775","MIA","2015-11-15",6.60377358490566,0.679245283018868,0.169811320754717,0.226415094339623,0.0943396226415094,1.0377358490566,0.0377358490566038,0.188679245283019,4.18867924528302,1.70566037735849,0,4.47169811320755,0.0188679245283019,53.3207547169811,254.075471698113,167.981132075472,1.35849056603774,0.339622641509434
